Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Nancy Guadalupe Sánchez Arredondo,Senadora,@nancysanchez_bc,Plurinominal,20-7-16,,,,,M,57,
Olga María del Carmen Sánchez Cordero Dávila,Senadora,@M_OlgaSCordero,Plurinominal,18-09-1,,,,,M,75,
Cecilia Margarita Sánchez García,Senadora,@Cecilia__SG,Campeche,18-09-1,,,,,M,61,
Gloria Sánchez Hernández,Senadora,@GloriaSanchezH,Veracruz,18-09-1,,,,,M,76,
Jesús Lucía Trasviña Waldenrath,Senadora,@Luciatraswbcs,Baja California Sur,18-09-1,,,,,M,67,
Lilia Margarita Valdez Martínez,Senadora,@SenadoraV,Durango,18-09-1,,,,,M,67,
Gricelda Valencia de la Mora,Senadora,@SenGriceldaVal,Colima,18-09-1,,,,,M,48,
Antares Guadalupe Vázquez Alatorre,Senadora,@AntaresVazAla,Plurinominal,18-09-1,,,,,M,58,
Gina Andrea Cruz Blackledge,Senadora,@GinaCruzBC,Baja California norte,18-09-1,,,,,M,53,
Xóchitl Gálvez Ruiz,Senadora,@XochitlGalvez,Plurinominal,18-09-1,,,,,M,59,
Minerva Hernández Ramos,Senadora,@minervahdezmx,Tlaxcala,06-09-1,,,,,M,52,
Kenia López Rabadán,Senadora,@kenialopezr,Plurinominal,18-09-1,,,,,M,47,
Mayuli Latifa Martínez Simón,Senadora,@MayuliMtzSimon,Quintana Roo,21-7-1,,,,,M,38,
Nadia Navarro Acevedo,Senadora,@Nadia_NavarroA,Puebla,18-09-1,,,,,M,,
 Alejandra Noemí Reynoso Sánchez,Senadora,@WeraReynoso,Guanajuato,18-09-1,,,,,M,47,
Estrella Rojas Loreto,Senadora,@EstrellaRojasL,Querétaro,21-7-1,,,,,M,39,
